Cards,high card,pair,two pair,three of a kind,straight,flush,full house,four of a kind,straight flush
Kc 0d 0c 7c,0,9105,9515,2276,319,2711,994,77,3
As Qs Qh Js,0,8591,9506,2268,930,2597,986,63,59
As Ah Kh 5h,0,9280,9452,2481,147,2670,916,50,4
As 0d 8c 5c,7145,12309,3924,702,547,249,109,12,3
As Ks Qs Js,2183,5150,2416,436,2932,10132,129,8,1614
As Ah Kh 2h,0,9126,9775,2414,131,2533,936,81,4
8s 8c 6s 2d,0,10501,10440,2351,357,203,1068,72,8
As Ah Ks 0d,0,10203,10164,2470,965,238,893,66,1
As Ah Kh 5s,0,10627,10201,2526,165,493,924,64,0
0c 7c 4c 2c,3142,6556,2708,507,211,11744,123,5,4
Ah Ks Kh 8s,0,10699,10276,2459,88,485,926,66,1
0c 8c 7c 4c,2488,6103,2805,510,1232,11533,123,6,200
As Qh Jh 8c,6584,11639,3792,718,1894,241,124,6,2
8c 7c 6s 2c,5011,10354,3677,708,2454,2654,129,8,5
As Ac 0d 8c,0,10637,10316,2466,395,240,875,71,0
As Ks Js 2h,5965,11032,3752,706,921,2446,101,5,72
Kd 0c 7c 4c,6026,11231,3825,699,449,2665,98,5,2
As Jh 8c 2c,7378,12397,3767,747,347,242,116,6,0
As Ah Kh 0c,0,10159,10187,2388,1007,226,973,58,2
As Jh 8d 8c,0,10787,10480,2438,273,0,949,73,0
Ah 8s 7c 6s,5879,11484,3785,676,2812,252,107,1,4
As Ks Js 4d,5915,10907,3764,675,928,2639,105,4,63
As Ah Kh 4c,0,10798,10311,2514,182,232,898,64,1
Ks Qs Js 0h,2727,6530,2935,541,9475,2528,133,4,127
8s 8c 7c 6d,0,8942,9702,2262,2742,254,1016,77,5
As Ks Qs 4s,2930,6407,2778,513,521,11673,113,6,59
8c 7c 6s 4s,4623,9129,3570,643,6469,432,113,6,15
9d 8s 7c 6s,3168,7239,3045,607,10621,203,108,5,4
Kc 0c 8h 4c,6237,11133,3759,676,431,2640,116,4,4
Ah Ks Kh Jd,0,10287,10055,2359,991,255,993,59,1
As Jh 0d 6d,6793,12050,3931,705,1186,219,111,4,1
Kc 0h 0c 7c,0,9090,9565,2346,327,2647,939,74,12
Kh Jh 0d 8c,5796,11448,3855,750,2790,240,117,3,1
Kc 0c 7c 6d,5653,10962,3728,722,1180,2628,113,7,7
As Jh 8c 6s,7270,12298,3935,689,442,230,130,6,0
Kc 0c 4c 3h,6172,11225,3770,651,396,2654,127,4,1
Qs 0c 7c 4c,6033,11276,3716,698,474,2647,140,8,8
As Ad Ks Kh,0,0,18768,2786,78,229,3014,124,1
Kc 7c 4c 3h,5938,10929,3704,695,970,2625,130,7,2
Kc 0c 7c 2h,6319,11204,3685,671,314,2673,123,5,6
8s 8c 6s 6h,0,0,18519,828,284,250,5006,108,5
Jh 0d 8c 5d,6328,11616,3989,727,1980,225,131,4,0
Kh 8c 7c 6s,5932,11279,3910,719,2764,246,135,9,6
8c 7c 6s 2s,5957,11122,3862,723,2752,457,113,6,8
As Jh 8c 4c,7244,12276,3915,723,454,256,119,10,3
Ks Qs Js Jc,0,8087,9271,2277,1685,2485,997,76,122
Ks Qs Js 2s,2716,6214,2758,488,927,11637,119,5,136
As Jh 0d 6c,7016,12119,3868,713,1164,0,116,4,0
As Kh 0d 8c,6842,12236,3865,749,1193,0,108,7,0
As 0d 8c 3c,7262,12344,3817,704,473,264,133,3,0
Kc 0c 7c 5c,3157,6493,2706,510,234,11752,137,2,9
As Qs Js 9c,5619,10505,3688,717,1702,2570,131,5,63
Ks Qs Js 2h,5618,10565,3751,728,1598,2460,135,6,139
As Ah Ks 2c,0,10711,10413,2458,198,237,925,58,0
0c 7h 7c 4c,0,8904,9713,2308,304,2644,1038,86,3
Ah Ks Kh 8c,0,10755,10445,2451,87,243,954,63,2
8c 7c 6s 2h,5941,11284,3889,682,2830,218,144,8,4
8s 8h 8c 6s,0,0,0,16460,251,247,6457,1580,5
As Jh 0s 0d,0,10046,10192,2423,1122,262,885,70,0
8c 7c 6s 5h,3228,7264,3036,611,10481,240,131,6,3
Kc 0d 0c 4c,0,9246,9597,2299,167,2621,1000,65,5
As Ah Kh 9c,0,10854,10418,2419,98,229,904,77,1
8c 7c 6s 3c,5060,10252,3843,704,2404,2619,110,4,4
Ac Kc 0c 7c,2907,6501,2719,494,541,11649,119,4,66
8s 8h 8c 7c,0,0,0,16285,380,221,6506,1602,6
0h 8c 7c 6s,4614,9199,3445,656,6733,217,123,3,10
Kc 0c 7s 7c,0,9166,9652,2234,302,2632,921,87,6
Ah Ks Kh 2d,0,10804,10328,2444,192,256,906,66,4
Ah Jh 0d 8c,5840,11475,3856,732,2748,242,102,5,0
As Ks Js 0c,4243,8798,3262,630,5301,2582,110,9,65
As Jh 0d 3h,6693,11973,3947,709,1300,248,125,5,0
As Ad Jh 8c,0,10797,10408,2522,312,0,889,72,0
As Ah Kh 3d,0,10817,10416,2421,172,223,891,59,1
As Ks Qs 8s,3053,6403,2748,521,448,11653,99,5,70
Kc 0c 7s 4c,6093,11230,3704,649,504,2673,132,10,5
As Kd Jh 8c,6992,12116,3923,757,1077,0,127,8,0
As Qs Js 3s,2932,6242,2752,502,518,11870,128,5,51
As Ks Qs 6s,2947,6481,2722,528,483,11620,135,6,78
Ac Kc 0c 4c,2989,6336,2794,509,519,11672,108,5,68
As Ks Qs 0h,4382,8775,3281,640,5157,2567,115,11,72
8s 8c 6s 2c,0,10402,10243,2347,367,499,1058,79,5
0c 7c 4c 2s,6096,11301,3831,680,396,2578,108,5,5
As Ks Js 2d,5962,10830,3772,655,978,2621,111,6,65
Kc 0c 6d 4c,6076,11225,3796,641,460,2674,124,4,0
As Ad Jh 0d,0,10060,10210,2339,1171,226,938,55,1
As Jh 0d 8d,5944,11297,3873,691,2820,245,125,1,4
As Ks Qs Qc,0,8869,9354,2301,838,2562,937,76,63
As 8s 7c 6s,5043,10407,3766,680,2390,2585,114,7,8
As Ks Kh 8s,0,9273,9693,2323,75,2616,932,86,2
Jh 0d 8c 6s,6457,11844,3798,755,2027,0,114,5,0
As Jh 8c 2d,7295,12530,3926,745,380,0,113,11,0
As Ah Kh 4h,0,9182,9635,2439,165,2630,884,61,4
As Ks Kh 3s,0,9206,9658,2309,158,2675,931,60,3
As Jh 8c 4d,7385,12343,3983,679,479,0,128,3,0
As Ah Kh Jh,0,8698,9504,2330,821,2615,900,61,71
As Ks Qd Js,4397,8796,3289,630,5161,2531,119,2,75
As Jh 8c 7d,6959,11994,3894,712,1301,0,131,9,0
As 0d 8c 7h,6304,11787,3998,688,2110,0,104,9,0
0c 8h 7c 4c,5014,10290,3831,680,2423,2625,120,8,9
Ah Ks Kh 9h,0,9321,9624,2327,77,2619,954,78,0
As Ks Kh 5h,0,10629,10122,2503,185,498,991,71,1
As Ac Ks Kh,0,0,18760,2883,73,247,2924,113,0
As Jh 0d 3c,6842,12140,3916,675,1311,0,113,3,0
8s 7c 6s 2d,5885,11447,3855,732,2704,243,123,7,4
As Ks Qc Js,4361,8656,3293,657,5150,2703,108,5,67
Ac 8s 8c 7c,0,8983,9687,2344,288,2672,949,71,6
Ah Ks Kh 8h,0,9316,9593,2344,72,2636,966,72,1
0c 7c 6d 4c,5125,10298,3780,651,2427,2585,126,5,3
As Ks Kh Jh,0,10149,9977,2394,984,466,967,63,0
As Jh 0d 4d,6747,12085,3886,720,1210,245,102,5,0
As Ah Ks 8c,0,10757,10457,2481,83,243,897,80,2
Kc 0c 7c 6c,2859,6292,2746,518,606,11799,111,2,67
As Ah Ks 3h,0,10548,10191,2637,186,454,904,78,2
As Jh 0s 8c,6024,11340,3822,719,2744,233,113,3,2
8s 7c 6s 4h,4560,9257,3566,580,6685,238,104,4,6
As Ah Kh 8s,0,10654,10276,2492,89,491,919,77,2
Ks Qs Js Jd,0,8146,9199,2276,1639,2504,1029,76,131
As Ks Qs 5d,5941,11026,3594,682,912,2633,129,4,79
Js 8c 7c 6s,5841,11291,3830,708,2740,459,122,3,6
As 0d 8c 3h,7319,12513,3878,730,451,0,101,8,0
Kc 9c 7c 4c,3132,6569,2701,474,218,11775,117,7,7
9d 8s 8c 7c,0,8865,9824,2245,2746,229,1012,74,5
Qh 8s 7c 6s,5844,11362,3910,723,2791,236,122,6,6
As Ah Ks Kh,0,0,18541,2796,82,466,2970,141,4
As Ah Kh 3h,0,9274,9694,2306,154,2590,903,75,4
Kc Js 0c 4c,5468,10639,3777,687,1668,2649,102,8,2
Ah Ks Kh Js,0,10039,10144,2369,907,467,1014,59,1
Qs 8s 8c 7c,0,10257,10344,2494,388,443,1005,56,13
Kc 8c 7c 6s,5052,10458,3779,661,2343,2581,112,8,6
Ks Qs Js 4s,2662,6254,2712,511,923,11703,134,6,95
As Qs Js 4h,5837,11052,3679,661,1034,2543,122,5,67
As Jh 0d 7h,6395,11694,3858,723,1970,234,120,4,2
Kc 0c 4c 2h,6318,11197,3780,639,295,2653,111,6,1
Jh 0d 8c 4s,6236,11911,3967,686,2071,0,123,6,0
8s 7h 7c 6s,0,8947,9733,2161,2835,257,997,65,5
Kc 9h 7c 4c,6245,11199,3708,690,395,2640,115,6,2
As Jh 8c 5h,7150,12373,3886,724,513,229,120,5,0
Ks 8c 7c 6s,5750,11328,3929,735,2663,452,132,6,5
As Jh 0d 7d,6341,11836,3811,696,1947,243,122,1,3
Kc 0c 4c 3s,6237,11113,3748,708,383,2681,117,6,7
8s 8c 7c 3s,0,10451,10180,2385,358,480,1058,81,7
As Ah Kh 7s,0,10753,10171,2557,97,486,867,69,0
As Ks Kh 4s,0,9300,9664,2240,158,2602,967,69,0
Jh 0c 7c 4c,5631,11095,3683,676,1133,2653,115,10,4
As Ah Kh Jd,0,10338,10120,2332,949,259,935,66,1
As Ah Ks 0h,0,9879,10176,2504,974,489,908,69,1
As Ks 0d 8c,7005,12016,3843,630,1121,255,127,2,1
8s 8d 8c 7c,0,0,0,16402,359,222,6503,1510,4
9h 8s 7c 6s,3113,7336,3106,591,10487,236,117,7,7
